customer_id,triggered_rules,total_score,escalation_band,hard_alert_flag
C100837,R03_HIGH|R04|R05_TOR|R06|R09|R10|R11|R14|R15|R17|R19|R20,25,Tier 1 — SAR immediate,False
C102290,R01|R03_HIGH|R04|R05_TOR|R09|R10|R11|R15|R17|R19|R20,24,Tier 1 — SAR immediate,False
C102093,R03_HIGH|R04|R05_TOR|R07|R09|R10|R11|R15|R17|R19|R20,23,Tier 1 — SAR immediate,False
C102040,R02_LOW|R03_HIGH|R04|R05_TOR|R09|R10|R11|R14|R17|R19|R20,22,Tier 1 — SAR immediate,False
C102179,R03_HIGH|R04|R05_VPN|R06|R09|R10|R11|R15|R17|R19|R20,22,Tier 1 — SAR immediate,False
C101141,R02_HIGH|R03_HIGH|R04|R05_VPN|R06|R11|R15|R17|R19|R20,21,Tier 1 — SAR immediate,False
C101048,R03_HIGH|R05_TOR|R09|R10|R11|R14|R15|R17|R19|R20,20,Tier 1 — SAR immediate,False
C100460,R02_LOW|R03_HIGH|R04|R05_TOR|R11|R15|R17|R18|R19|R20,19,Tier 1 — SAR immediate,False
C101082,R03_HIGH|R04|R05_VPN|R10|R11|R14|R15|R18|R19|R20,19,Tier 1 — SAR immediate,False
C100677,R03_HIGH|R04|R05_TOR|R09|R10|R11|R17|R19|R20,19,Tier 1 — SAR immediate,False
C101277,R03_LOW|R04|R05_TOR|R06|R09|R10|R11|R17|R19|R20,19,Tier 1 — SAR immediate,False
C100859,R02_LOW|R03_LOW|R04|R05_TOR|R09|R10|R11|R17|R19|R20|R21,18,Tier 1 — Hard alert,True
C100546,R02_LOW|R03_HIGH|R04|R09|R10|R11|R17|R18|R19|R20|R21,18,Tier 1 — Hard alert,True
C102252,R02_LOW|R03_HIGH|R04|R05_VPN|R11|R15|R17|R18|R19|R20|R21,18,Tier 1 — Hard alert,True
C100254,R01|R03_HIGH|R04|R05_VPN|R11|R15|R19|R20,18,Tier 1 — SAR immediate,False
C101563,R02_HIGH|R03_LOW|R04|R05_VPN|R06|R10|R11|R17|R19|R20,18,Tier 1 — SAR immediate,False
C102060,R02_LOW|R03_HIGH|R04|R05_VPN|R06|R11|R15|R19|R20,18,Tier 1 — SAR immediate,False
C100550,R02_LOW|R03_LOW|R04|R05_VPN|R10|R11|R14|R15|R17|R19|R20,18,Tier 1 — SAR immediate,False
C100183,R02_LOW|R03_HIGH|R04|R05_VPN|R06|R11|R15|R19|R20,18,Tier 1 — SAR immediate,False
C100313,R02_LOW|R03_LOW|R04|R05_VPN|R06|R10|R11|R15|R17|R19|R20,18,Tier 1 — SAR immediate,False
C100932,R02_LOW|R03_HIGH|R04|R09|R10|R11|R15|R19|R20,18,Tier 1 — SAR immediate,False
C100237,R02_LOW|R03_HIGH|R04|R05_TOR|R06|R11|R17|R19|R20,18,Tier 1 — SAR immediate,False
C100228,R02_LOW|R03_HIGH|R04|R05_VPN|R09|R10|R11|R19|R20,18,Tier 1 — SAR immediate,False
C100634,R02_LOW|R04|R05_TOR|R07|R09|R10|R17|R18|R19|R20,18,Tier 1 — SAR immediate,False
C101622,R02_LOW|R03_HIGH|R04|R05_TOR|R11|R15|R17|R19|R20,18,Tier 1 — SAR immediate,False
C101423,R02_LOW|R03_HIGH|R04|R05_TOR|R07|R10|R11|R14|R20,18,Tier 1 — SAR immediate,False
C101791,R03_HIGH|R04|R05_TOR|R09|R10|R17|R18|R19|R20,18,Tier 1 — SAR immediate,False
C101821,R03_HIGH|R04|R05_TOR|R11|R15|R17|R18|R19|R20,18,Tier 1 — SAR immediate,False
C101074,R03_HIGH|R04|R05_TOR|R11|R15|R17|R18|R19|R20,18,Tier 1 — SAR immediate,False
C101715,R03_HIGH|R04|R05_VPN|R11|R14|R15|R17|R19|R20,18,Tier 1 — SAR immediate,False
C101047,R03_HIGH|R04|R05_VPN|R06|R07|R11|R17|R19|R20,18,Tier 1 — SAR immediate,False
C101630,R03_HIGH|R04|R05_TOR|R07|R10|R11|R17|R19|R20,18,Tier 1 — SAR immediate,False
C101068,R03_HIGH|R04|R05_VPN|R09|R10|R11|R17|R19|R20,18,Tier 1 — SAR immediate,False
C102428,R03_LOW|R04|R05_VPN|R10|R11|R14|R15|R17|R18|R19|R20,18,Tier 1 — SAR immediate,False
C100300,R02_HIGH|R03_LOW|R04|R05_VPN|R11|R15|R16|R17|R19|R20,17,Tier 1 — Hard alert,True
C100230,R02_HIGH|R03_LOW|R04|R05_VPN|R10|R11|R15|R19|R20|R21,17,Tier 1 — Hard alert,True
C100568,R02_LOW|R03_HIGH|R04|R05_VPN|R06|R11|R17|R19|R20|R21,17,Tier 1 — Hard alert,True
