feature,gain
distinct_merchants,0.3423134
pep_flag,0.12326808
tx_count,0.08292519
count_tor_events,0.047924742
distinct_active_days,0.037771326
count_anon_events,0.037464194
distinct_devices,0.030521223
log_pix_out,0.029322919
count_rooted_tx,0.025396617
count_chargeback_status,0.024670787
log_total_outflow,0.022389002
log_pix_in,0.0219131
log_pix_outflow,0.020031003
log_wire_outflow,0.015886212
mean_merchant_chargeback,0.014226761
log_annual_income,0.013928057
std_tx_amount,0.012383228
fraction_high_mcc,0.010682468
distinct_mccs,0.01017058
count_wire_sent,0.009517539
max_tx_amount,0.008999673
mean_tx_amount,0.00819081
age,0.0069753095
count_c2c_tx,0.006244965
log_card_outflow,0.005670049
fraction_weekend_activity,0.0053921924
count_cnp,0.0053587197
kyc_risk_score,0.0039058153
fraction_cross_border,0.0035516117
fraction_night_activity,0.0031669806
risk_rating_ord,0.0028553766
distinct_geo_countries,0.0026764828
max_txs_per_day,0.0025181258
kyc_tier_ord,0.0017873716
distinct_ip_addresses,0.0
count_ip_mismatch,0.0
count_high_risk_geo,0.0
count_no_3ds,0.0
distinct_c2c_counterparties,0.0
