customer_id,predicted_probability,predicted_band,predicted_score,behavioral_risk_score,composite_score,hard_alert,iforest_anomaly_score,top_shap_driver_1,top_shap_driver_2,top_shap_driver_3,actual_label
C100677,1.0,ML Tier 1,4.7193,6,19,False,0.462993,log_annual_income,log_total_outflow,log_pix_outflow,1
C102040,1.0,ML Tier 1,5.4771,7,22,False,0.536367,fraction_weekend_activity,log_annual_income,count_wire_sent,1
C100837,1.0,ML Tier 1,5.3021,6,25,False,0.496765,log_annual_income,log_total_outflow,log_pix_outflow,1
C101919,1.0,ML Tier 1,5.534,7,16,False,0.448064,log_total_outflow,log_annual_income,log_pix_outflow,1
C102290,1.0,ML Tier 1,5.2697,6,24,False,0.433112,log_total_outflow,log_annual_income,log_pix_outflow,1
C102234,1.0,ML Tier 1,4.8104,3,15,False,0.418225,log_total_outflow,log_annual_income,log_pix_outflow,1
C100546,1.0,ML Tier 1,5.0721,7,18,True,0.457615,log_total_outflow,log_annual_income,log_pix_outflow,1
C102043,0.8,ML Tier 1,4.1928,3,14,False,0.403115,log_annual_income,log_total_outflow,log_pix_outflow,1
C102053,0.8,ML Tier 1,4.154,4,17,False,0.390424,log_annual_income,log_total_outflow,log_pix_outflow,1
C102093,0.8,ML Tier 1,4.5091,6,23,False,0.472892,log_annual_income,log_total_outflow,log_pix_outflow,1
C102200,0.8,ML Tier 1,3.9744,4,14,False,0.440884,log_total_outflow,log_annual_income,log_pix_outflow,1
C102324,0.8,ML Tier 1,4.3948,3,12,False,0.430329,log_total_outflow,log_annual_income,log_pix_outflow,-1
C101141,0.8,ML Tier 1,4.6597,6,21,False,0.455035,log_total_outflow,log_annual_income,log_pix_outflow,1
C101647,0.8,ML Tier 1,4.1816,4,16,True,0.488673,log_total_outflow,log_annual_income,log_pix_outflow,1
C100228,0.8,ML Tier 1,4.0394,7,18,False,0.509844,log_annual_income,log_total_outflow,distinct_active_days,1
C102015,0.8,ML Tier 1,4.1162,3,14,False,0.384537,log_annual_income,log_total_outflow,log_pix_outflow,1
C101913,0.8,ML Tier 1,4.1807,4,15,False,0.421512,log_annual_income,log_total_outflow,log_pix_outflow,1
C100547,0.8,ML Tier 1,4.6553,6,16,False,0.517945,log_total_outflow,log_annual_income,log_pix_outflow,1
C101266,0.8,ML Tier 1,4.1996,4,15,False,0.459981,log_total_outflow,log_annual_income,log_pix_outflow,1
C101830,0.8,ML Tier 1,3.9803,6,17,False,0.414403,log_annual_income,fraction_weekend_activity,log_total_outflow,1
C101956,0.8,ML Tier 1,3.9956,4,15,False,0.39333,log_annual_income,log_total_outflow,log_pix_outflow,1
C101933,0.8,ML Tier 1,4.126,4,16,False,0.57454,log_annual_income,log_total_outflow,log_pix_outflow,1
C101974,0.8,ML Tier 1,4.0647,3,7,False,0.410208,log_annual_income,log_total_outflow,log_pix_outflow,-1
C102444,0.8,ML Tier 1,4.189,4,16,False,0.419506,log_annual_income,log_total_outflow,log_pix_outflow,1
C100460,0.8,ML Tier 1,4.1979,4,19,False,0.446003,log_total_outflow,log_annual_income,log_pix_outflow,1
C101048,0.8,ML Tier 1,4.6855,6,20,False,0.416339,log_total_outflow,log_annual_income,age,1
C102003,0.8,ML Tier 1,4.1294,4,15,False,0.441942,log_annual_income,log_total_outflow,log_pix_outflow,1
C101415,0.8,ML Tier 1,4.718,4,13,False,0.423695,log_annual_income,log_total_outflow,log_pix_outflow,1
C101341,0.7945,ML Tier 2,3.9698,3,17,False,0.399693,log_total_outflow,log_pix_outflow,log_pix_out,1
C102179,0.7143,ML Tier 2,3.726,6,22,False,0.455589,log_annual_income,log_total_outflow,age,1
C101992,0.7143,ML Tier 2,3.8366,3,10,False,0.415277,log_annual_income,log_total_outflow,log_pix_outflow,-1
C100564,0.7143,ML Tier 2,3.7175,4,12,False,0.465926,log_annual_income,max_tx_amount,log_total_outflow,-1
C101631,0.7143,ML Tier 2,3.8136,3,8,False,0.498896,log_annual_income,log_total_outflow,log_pix_outflow,-1
C100282,0.7143,ML Tier 2,3.7292,3,14,False,0.515636,log_total_outflow,log_annual_income,log_pix_outflow,1
C101184,0.7143,ML Tier 2,3.8029,3,14,False,0.420171,log_annual_income,log_total_outflow,age,1
C102225,0.7143,ML Tier 2,3.8562,6,15,False,0.400792,log_annual_income,log_total_outflow,log_pix_in,1
